,log Length,log Mass,Line Mass,Thermal,Total,Magnetic
0,3.707421,7.685709,9512.353910688113,322.82785033776094,679.2790113446647,10708.617144271739
1,2.873068,6.28939,2608.0865531871395,378.1261459613015,510.704267836448,3310.842769726527
2,3.56774,7.75832,15508.86444324018,290.6901124917661,1029.2699640746985,9542.918150929443
3,2.083286,4.811025,534.243196251626,,,
4,1.522798,3.544882,105.21653609667806,830.5859017192587,830.7334071007836,5587.685034313305
5,1.881714,4.172295,195.24548512548645,540.5801262633801,541.9531325151121,4907.729681707151
6,3.679068,7.707431,10674.879958932974,330.15582386980293,2979.944438660585,4465.4520568760245
7,3.144554,6.979262,6834.519705206211,375.0675232691579,470.13041810500675,3398.274091563339
8,1.481189,3.955951,298.3747031913588,499.60589876762134,499.60589876762134,3752.7969538133684
9,1.631754,4.079988,280.6945626672358,378.16402830348125,378.16402830348125,2640.5694343311243
10,1.575588,3.670607,124.45690593774621,,,
11,2.059491,4.60991,355.1558723987379,756.9239988764472,756.9294647320302,1873.460047450769
12,2.580506,5.885003,2016.0300443740812,449.5093073177619,443.4671621538556,6579.872365194009
13,1.481189,3.460966,95.45023456682256,798.428587528339,798.428587528339,2839.9329085661116
14,1.481189,3.30164,66.13799119814851,,,
15,1.700511,4.031878,214.47022134417338,,,
16,2.617509,6.063817,2794.5250051759513,644.30054173535,927.1932523135702,1454.1559549720264
17,2.11903,4.801349,481.19266654582896,,,
18,2.64251,6.455369,6499.186505738817,98.17764434282104,787.0299315295994,3674.203499443172
19,3.77852,8.03141,17901.5237900862,364.3940695722342,1049.6691574370577,5726.774240126007
20,1.900758,4.684364,607.5835401245713,461.8824305384924,495.4623630488295,2904.041605693044
21,3.72883,8.050776,20986.789185129084,261.94789230296846,577.9632074221066,3327.620818928302
22,1.549963,3.680555,135.08029487118205,597.9839322977432,616.4132602355367,1045.50450883385
23,2.358835,5.100357,551.4701374263752,788.11374913055,1316.0510254144697,5310.360196440632
24,2.187357,6.111682,8400.88423248905,295.73106330196805,486.16870226603004,881.1617508993392
25,2.36221,4.67445,205.2296006194297,854.1301247322174,857.8390059295209,2051.397172448054
26,1.511062,4.124205,410.33919299483233,372.65602820345816,465.14576138614433,7082.217763709353
27,2.162377,5.207784,1110.21476802709,367.69468005384067,638.2494411176558,5430.989453421632
28,3.05602,6.339657,1921.4850065916712,862.7207712536616,1320.5497968699144,1620.9503157202014
29,4.009724,8.519963,32377.17853001642,615.033021220877,2786.596046366492,16513.263625195592
30,2.673951,6.275894,3998.922615169715,372.80512126722175,809.3010582199958,2876.9040326573318
31,2.504021,5.636565,1356.8879947392861,191.98575529756303,305.1666589474449,1474.9123572102442
32,1.599728,4.051431,282.9456359996709,531.3130571810617,531.3130571810617,1105.1974505686699
33,3.707573,7.869779,14528.005647460384,1253.9002601221996,3123.8816672346193,4514.279285369349
34,1.661531,3.649807,97.33656142327442,1068.8520943219369,1068.8520943219369,2269.314510479975
35,1.982489,4.62716,441.23606211492285,3086.0234914973553,3241.926681527908,4980.682332113003
36,2.197312,4.823444,422.79710021016615,4770.774356291481,4985.6584810060085,12877.405452300309
37,2.239221,5.351642,1295.451028071186,4123.854135590875,4963.4193757040775,7139.33693261185
38,1.782256,4.094163,205.07229891339404,1168.0282661687274,1168.0870349806787,2751.794819551869
39,1.982489,4.623368,437.40022288088136,1077.5891412448118,1173.798665839748,3827.5825170602907
40,2.53256,5.347316,652.7637068732122,2168.9397585132283,3492.708009613351,20088.35342546359
41,3.47187,7.334549,7289.185456670075,410.5369526941954,1529.276086030595,2810.8213085248385
42,3.074597,6.500665,2667.2762627059187,802.1754369943859,975.2209619057858,4942.52889313728
43,2.75411,6.314909,3637.4664808405896,807.0972282172759,1327.070892679152,1702.927366843083
44,2.87514,6.61946,5550.34526879661,2645.952089222072,3771.7153241962933,31570.58024612377
45,1.708134,4.1719,290.9149231816982,750.3896205147662,750.3896205147662,7671.92295830306
46,2.489346,5.243998,568.3972917869456,1323.4366875420153,1558.7304278237052,6983.764409783726
47,2.731021,5.794304,1156.8658469503227,1111.1696051915474,2879.8742765821794,13337.014140333209
48,2.09093,4.495406,253.79087320689246,1393.4087849142297,1428.471338309445,4178.602077109129
49,2.996787,6.815547,6588.097229217487,322.4570756882304,457.6875489082594,2948.3561019419108
50,1.631754,4.054253,264.5446603351125,1174.9189591468044,1766.5481779210033,4880.7162515928485
51,2.425049,5.317338,780.3492189028887,1368.0231316691602,1450.7165882650668,5104.3020568992015
52,3.321931,7.129011,6413.27702633641,472.50063942407445,5115.992690415786,7984.212475914456
53,1.700511,3.885459,153.09041487800835,,,
54,2.681994,6.383961,5034.623515925443,4337.958385944795,8463.559338370096,18429.129721361514
55,1.7758,4.289017,325.9995495636693,,,
56,3.547416,7.72974,15216.823385692229,1095.8645500108876,1572.6176592917911,5950.809292115703
57,2.600861,6.036854,2728.9337972375893,952.1799357327451,1619.3069089371484,14159.458887377694
58,2.462848,5.786828,2108.531046254306,476.16112178943126,926.6682199236487,1852.8616222496453
59,2.697542,6.079167,2407.825447197665,459.74512760453985,659.6247147740113,9960.395181311436
60,1.653037,4.294583,438.0725088776351,,,
61,2.834255,6.538463,5060.669785256316,2102.956410417004,3761.792682566307,6195.067954206641
62,2.311782,5.409581,1252.561330831421,4392.076189340391,5584.66142024905,13696.12021867782
63,2.51223,5.87033,2280.867200621956,588.6648065616544,1111.0499911854868,6435.55455646304
64,1.549963,3.506432,90.4625863114633,,,
65,1.941702,3.813586,74.45330826550835,,,
66,1.511062,3.648815,137.32607266001096,2221.1971376962547,,
67,3.254644,7.103966,7068.414351694814,578.2597161466557,895.8488720130938,2411.940989383875
68,2.761481,6.40367,4387.215828602588,549.1263866516251,876.4167058054041,1785.3081548782357
69,1.743304,4.15888,260.36104141344265,647.5453874826835,647.5453874826835,5417.601321279682
70,1.997656,5.039675,1101.587501967471,1276.1395925000395,4611.5932185607235,10796.428841430912
71,3.622023,7.882601,18221.24300213325,666.1362238757557,5303.70180451722,13334.431757925542
72,1.803557,4.264102,288.7652971688891,1044.856062976428,1044.538240075132,2701.836535925353
73,1.876588,4.443596,368.98439545129696,906.088170314823,909.6547219704369,2001.9075049912083
74,1.681482,4.084992,253.22699422797479,,,
75,3.353747,7.16893,6534.058222663994,505.8978804710896,966.4431964377453,5351.577868431466
76,3.052119,6.857068,6381.885381358549,995.3879861535522,2784.7439626772853,5692.367572824026
77,3.219292,7.117882,7917.5351481000735,812.0694750363542,30522.731139409665,34186.193467085875
78,1.599728,3.929391,213.63037360451256,,,
79,1.743304,4.081128,217.68274234310496,514.0494051259133,723.1447696589835,2375.1986176200653
80,2.24986,5.230138,955.6040902887137,1800.0798144692744,2900.946290110002,9738.044388982291
81,1.575588,4.192501,413.9167486813553,3321.086232174082,5778.4694718926285,15802.870927224207
82,2.169843,5.280921,1291.4511995356427,776.7391597879279,2439.313980930065,6490.529462864926
83,1.653037,3.959177,202.36714281353272,1622.2125576901426,1653.650233634488,7876.7740170150355
84,2.284364,5.332977,1118.4407962051512,893.2914820552955,1366.529192275342,9861.172317614166
85,2.980643,6.658372,4761.337863390239,321.37952069318,793.9697545261466,5564.7572527444345
86,2.07223,5.023397,893.6490540715931,1218.2491394387546,1281.0263478949528,20411.890930202644
87,2.623838,6.036633,2586.9914894529584,682.8727176478986,1153.1560899500566,8323.187272346342
88,1.631754,4.185071,357.53371375170616,1057.5086008785877,1125.316453689576,12806.721926019942
89,1.837656,4.532434,495.1969943223652,913.3005267034519,913.3005267034519,9888.957720705735
90,1.726096,3.939866,163.59499017824854,1169.5753713408906,1177.8018050958322,4906.11958412074
91,2.533697,5.900163,2325.230441355162,709.625391807036,928.0755874301992,985.653500641925
92,3.348691,7.391694,11040.862466333303,2699.1012401307066,38229.05985937546,56413.41731282884
93,1.622596,4.0412,262.1826809316546,,,
94,2.530283,5.599202,1171.9767604891551,1231.7140928574825,2044.164033884405,3878.1972761649977
95,2.924137,6.384806,2888.4775736728034,1117.628062368178,5105.963791830302,14904.675431846745
96,3.210073,6.875501,4628.369254755418,559.4332638817992,712.5083783333381,1911.0152102225472
97,1.549963,3.599128,111.98632684317492,832.1361134673197,832.1361134673197,11130.941966385202
98,1.60932,3.435968,67.08848736381958,867.4583997961985,867.463323661225,12785.872421688107
99,2.00537,4.112864,128.08373989914332,524.5091644638177,524.6814394641614,1455.5198436079183
100,2.353009,5.406562,1131.2354335001153,210.63684093564336,991.0834836431776,2305.7825566388165
101,1.661531,4.004033,220.04018428390285,778.8709679488821,779.6536509148391,918.4826900491353
102,2.916859,6.335564,2622.436615134432,571.037741812564,6241.76231234886,18606.375391317066
103,1.481189,3.889817,256.22883383378985,1340.034034524158,1468.8485575879977,13696.113388450694
104,2.163927,4.87885,518.7080643275435,1091.780743799268,1383.3275583113411,7509.466197444386
105,1.511062,4.014061,318.4190189848819,1520.3074660384111,1526.0233687391387,8268.686297214255
106,3.400049,7.360352,9126.473560903272,520.1495099702038,583.7931423670827,1509.6359350795894
107,3.994199,8.711453,52149.96244354523,934.0139844117747,4812.871367028578,13609.406919535917
108,2.327074,5.423698,1249.1770594005043,1397.5829560595923,1399.401783599946,4260.228136100236
109,2.572042,5.896068,2108.7543914014736,1165.7081022352666,1420.7084379156638,3707.560879121524
110,1.56515,3.901243,216.81683475781622,,,
111,2.452281,5.758953,2026.1518945331538,469.50901316895687,737.9131676096932,6133.755128356526
112,1.599728,4.043715,277.96300621622834,2537.4984235476413,2533.513744753398,10789.07626215988
113,1.575588,3.957775,241.09433174224156,2485.223198705871,2485.223198705871,11663.871911548087
