,log Length (pc),log Mass (Msun),Line Mass (Msun / pc),Thermal critical line mass,Turbulent critical line mass,Magnetic critical line mass,Shear critical line mass
0,3.65457,7.538126,7648.143008813733,4919.712103581266,6243.042414734083,7431.6491357401765,7442.109873082633
1,2.765372,6.099451,2158.136947672561,2181.538508016954,3039.064553937497,3756.277006696465,3774.126618001932
2,3.502423,7.651195,14085.491309152609,444.1364660346733,497.39414290000786,1565.300137812088,1566.285037396108
3,1.653037,3.933591,190.78929358773382,479.6163914432782,481.6959625511118,2448.193480252326,2448.2301107040525
4,1.481189,3.290075,64.40001966874954,69979.24213537184,70084.00509316249,70384.24926127151,70391.79916807389
5,1.982489,4.299525,207.50855205213858,535.9381251315815,537.0082616753981,1593.0010709059302,1597.7014447626514
6,3.012856,6.44682,2716.21410419911,402.0927701304373,419.1096124299843,2530.042480825485,2530.2871032994667
7,3.333422,7.129828,6257.57408452805,450.47696123095704,666.6474312563751,2068.8461672922376,2069.274562230357
8,3.039235,6.746071,5091.385718298175,596.4477777060517,706.4362491027789,3465.6663446952207,3466.065192171759
9,3.114638,6.833915,5239.345038842824,629.404988340794,1470.3510463652017,1851.8156861868763,1866.5645163532079
10,2.034317,4.519647,305.72432865782093,555.645865256228,581.8591329191026,1437.7018429796037,1437.8615917150878
11,2.341115,5.339984,997.3991643087519,778.4411280968652,1191.2985311817024,3844.7292724087883,3845.0048354826545
12,2.599314,6.38606,6119.923592573533,3397.6557035397054,9702.462992079061,11020.342406805628,11021.780912373242
13,3.766695,7.928567,14516.836984991336,75211.04806015869,139990.75855030055,143806.36918926975,143871.55583311312
14,2.450341,5.64536,1566.819615583052,518.8969552058866,530.5077733967162,3266.2511911484253,3266.552134548323
15,1.992108,4.691838,500.875743375438,562.2729168039755,565.4226547664891,1318.8372360726878,1319.0573995799625
16,2.487873,5.821806,2157.411552691303,543.2454673419531,543.9964051389077,1195.076836244139,1195.3054985606884
17,2.033712,6.145654,12940.230132198316,1045.7025259447475,3952.897351640703,6518.5503890760765,6547.405002159719
18,2.478655,5.903703,2661.019150251795,559.0258419477867,743.1041296156033,1002.6494068004856,1002.943731217831
19,2.566132,5.862588,1979.046506468996,667.0785728307105,697.4487088132144,1876.684779315624,1879.8236979725673
20,2.056093,4.745067,488.6231059639056,11429.904090431068,20102.36408150579,24490.65121774511,24511.84303207329
21,1.481189,3.292339,64.73661694937346,657.9676246358567,657.9676246358567,905.8030862088789,930.2317959053736
22,2.665118,5.387535,527.7363390435696,447391.38876947673,1401387.738956951,1409403.3434177858,1409862.6922876325
23,2.602228,6.073198,2957.8081413464547,166.2985167468832,193.7104099107405,2611.504305154844,2611.6282897307824
24,2.293964,5.457369,1456.8169975891242,5207.2504286518915,11934.315406188343,12264.599542081758,12838.571124318563
25,3.584771,7.673849,12276.597010517364,1238.1254375843268,1542.2262464466721,3333.4726906084065,3339.2303084558494
26,2.984633,6.750998,5839.356630682426,8514.194380810568,16428.13089000419,20497.65615065621,20511.307651106436
27,1.79118,4.143377,225.00750292579622,510.16010803694076,701.6380178045517,13584.71346379333,13587.388382132543
28,1.863994,4.274684,257.4482831586064,956.4691767174095,1615.6507435579408,5525.918334325665,5536.131688944487
29,1.317729,3.583486,184.3983369821615,466.4557806426505,11765.216039294963,17045.687914106875,17056.32457527041
30,3.89222,8.199324,20281.68344513336,9866.935471534684,16567.75969707021,22288.07831343162,22389.46782093961
31,2.861431,6.433471,3732.845369888884,11641.556940785133,46959.72664422686,51563.02241664861,51594.18764284267
32,2.51054,5.82047,2041.408881914703,105979.67218006514,154722.91786449155,162210.1622595306,162250.97344119
33,1.599728,3.93289,215.3584912542464,399.24046071569927,554.0420600265014,1005.2722863236662,1005.3367723023266
34,3.429917,7.108496,4770.665866532893,532.3512773543322,551.1748152708794,1318.0054997904545,1319.9891269472962
35,1.743304,4.091586,222.988260671612,563.9458166565955,1018.6026560498872,1421.176322477987,1421.4915831707303
36,1.839978,4.472993,429.5512626836904,348.5508429252672,728.2882182397393,1131.994665070148,1132.1061844098278
37,2.995128,6.757306,5783.330344988944,440.42090208558943,507.1497212189007,953.7275956588671,953.8154597566433
38,2.214751,4.487349,187.32597426444312,139044.76772212022,209669.50570578422,210374.0902985468,210410.85094918235
39,3.25308,7.080552,6721.589720241438,37363.57686469378,91520.37374648113,94699.0607599426,94772.24665974718
40,1.481189,3.751001,186.12812396586617,657.9676246358567,657.9676246358567,905.8030862088789,930.2317959053736
41,2.596145,5.906367,2042.7818945956262,318.2590205796308,397.40937180537696,1326.239534821153,1326.2734831225855
42,1.681482,3.850775,147.67024655751737,1122.1963372540097,28380.56341647868,29180.62165604863,29190.701484646725
43,3.029764,6.675427,4422.450697563798,6258.107323312393,9674.934198476645,22449.81407039294,22462.160424698766
44,2.693178,6.256311,3657.067699031729,1036.4519659227738,1456.4780360087698,6382.629634634352,6388.226540557506
45,2.575564,5.760409,1530.541113013311,407.3789842377782,420.4051749823087,3386.695470620991,3387.8830290930687
46,2.616571,6.101969,3057.7220143274008,1383.358616438522,4394.500150460447,12420.66001108397,12424.279100900825
47,2.51054,5.945367,2721.6169435691195,1867.2089623645475,3581.9447863048895,8522.74339280812,8547.497033733285
48,1.599728,4.038318,274.530120059944,92.05102985255644,109.80157239699619,3168.9268814616817,3171.9396098475822
49,1.888826,4.46031,372.80694997434136,1815.0129654692996,1815.0129654692996,6737.112626474339,6770.938820897363
50,1.893811,4.171535,189.55009219570698,3120.6993812111195,3161.0584369254148,4226.089689575152,4248.583521020105
51,2.594994,6.187301,3911.1727640379695,8164.81722975592,14564.561282214407,15108.080759530832,15158.04697622671
52,1.812058,4.463682,448.35704687418826,556.0659795880838,637.6194623878273,2197.0598625784733,2197.129292136293
53,3.021558,6.887888,7350.722028819586,16302.784433998548,24579.740867303673,38637.591031056145,39022.383511736334
54,2.582954,6.329296,5576.24696660461,1288.4783171863246,39221.58847632516,54499.599734106494,54507.24038961094
55,3.311545,7.397917,12200.341859853954,184796.6339088539,246067.98968607097,249617.92851278748,250654.7823495227
56,3.399012,7.349366,8919.777064114021,2503.318671117472,12853.925115014612,17133.60524306244,17154.43051952953
57,1.726096,3.879574,142.38951147466352,187504.43752424902,257897.5218967402,258304.46708745087,258318.69052183616
58,2.951871,6.455972,3192.2801689504527,9720.39776863655,19036.74005747527,21884.559951853324,21927.97323480741
59,1.996043,4.587977,390.781503973677,930.739947295485,932.8666445186437,6290.73071551586,6307.064419250134
60,2.757669,6.252865,3127.490506023258,584.9281258644637,3006.3217750882905,7989.805194641158,7991.592326245994
61,1.812058,4.506366,494.6613745903987,797.5828127099004,1022.8782617097792,6784.110540384776,6794.516081912182
62,2.621993,6.287693,4631.268924918745,801.5392167188719,1421.5628913011847,15916.941180642096,15917.881881585301
63,1.689443,4.370141,479.39996721799093,752684.0796744992,925911.3848380708,928153.1947304446,936771.8142735678
64,2.836983,6.451581,4117.162419661423,225641.68097769227,255804.68419546084,275630.35763176624,276752.36433555157
65,2.839929,6.514525,4727.113173214354,1087.8164070717928,1570.0565019607566,7302.675826740467,7423.01624785873
66,1.449187,3.543114,124.14436173952632,218.29281164800688,531.7605282906004,3127.994597482874,3128.2895670975436
67,2.848965,6.507971,4560.432163776452,496.2676817356009,584.2556169156933,1736.5586928694995,1737.4144207302509
68,2.432615,5.650061,1649.8558461582809,65.63635813190238,102.00564422900685,3158.567188925038,3158.8099573958766
69,2.625899,5.971737,2217.3691451707514,546.337109321816,574.6641647956018,1612.4946642576165,1612.500291455622
70,2.215727,5.148442,856.4756099987891,180.8891024875436,166501.22642304812,175683.15000976913,175691.31166435982
71,2.580085,6.065246,3056.053831907432,1797.6690799460048,11375.745415726453,14799.143979346904,14801.988607138219
72,2.006949,4.769751,579.1645882284729,60.299591803178544,629.0463913946802,10513.928804396954,10514.950110139276
73,2.285195,5.524563,1735.2737614654022,980.3450916544584,1314.5560895977678,3017.539990886874,3017.7696990571776
74,2.998893,6.872233,7470.333662252699,969.8308012587646,6239.996780985224,10732.422287100324,10800.559539515882
75,2.39261,5.873653,3027.2131411452347,290.89106864097266,370.3841437133609,6948.461662110623,6951.28004780543
76,2.725956,6.065154,2183.725271152505,609640.3306013981,1192919.212835322,1194991.8811846306,1195324.0019509713
77,3.303575,7.404401,12613.220848944258,43539.100824707784,54397.06766681213,64624.7304650727,65235.67798640701
